Nome da Faixa,Cantor ou Compositor,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,Genero_Avant-Garde,Genero_Blues,Genero_Children's,Genero_Classical,Genero_Comedy/Spoken,Genero_Country,Genero_Easy Listening,Genero_Electronic,Genero_Folk,Genero_Holiday,Genero_International,Genero_Jazz,Genero_Latin,Genero_New Age,Genero_Pop/Rock,Genero_R&B,Genero_Rap,Genero_Reggae,Genero_Religious,Genero_Stage & Screen,Genero_Vocal,Quadrante_Q1,Quadrante_Q2,Quadrante_Q3,Quadrante_Q4
Cursum Perficio,Enya,2.661,1.026,0.2949,2.0220000000000002,0,0.40800000000000003,-58.149,0,0.11549999999999999,419.49,12,0.1473,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
Danke Schoen,Wayne Newton,1.606,0.78,0.92,0.0,18,0.204,-17.422,0,0.091,294.67,8,1.388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
Dark Eyes,Gene Krupa,1.558,1.244,1.048,1.696,8,0.1694,-19.754,2,0.1776,187.984,8,0.952,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Dawn,Steven Halpern,2.964,0.9059999999999999,0.0987,2.589,27,0.309,-76.008,3,0.1716,212.187,12,0.318,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Dead Men Don't Rape,7 Year Bitch,9.03e-06,0.349,0.709,0.0095,9,0.147,-12.339,0,0.0336,114.581,3,0.708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Dead and Gone,Motörhead,0.761,0.537,0.718,0.000191,8,0.0771,-5.477,0,0.0322,102.642,4,0.612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Death Letter Blues,Ida Cox,1.992,0.956,0.29,0.61,10,0.634,-27.288,0,0.0798,258.108,8,0.958,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Death Letter Blues; Pt. 2,Lead Belly,1.73,1.606,0.576,0.1186,14,0.1666,-30.836,0,0.1258,231.37,8,1.73,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Deeper and Deeper [Shep's Fierce Deeper Dub],Madonna,0.0224,1.534,1.49,1.53,14,0.1026,-20.608,2,0.085,239.716,8,1.358,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Desert Rain,Iced Earth,0.00175,0.297,0.814,0.281,8,0.104,-15.095,1,0.35,143.722,4,0.162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Detroit Blues,Blind James Campbell,2.4509999999999996,2.013,1.014,6e-06,18,0.29159999999999997,-29.750999999999998,3,0.1194,263.166,12,2.298,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Di Que No,Pedro Infante,2.649,2.0460000000000003,0.657,8.31e-05,15,0.2319,-36.972,3,0.1248,349.995,15,1.7009999999999998,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
Dime Que Me Quieres (Bring a Little Lovin),Ricky Martin,0.05,1.492,1.19,2.48e-05,2,0.0826,-31.968,2,0.0924,227.842,8,1.786,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
Ding-Dong! The Witch Is Dead,Bud Shank,1.368,1.299,1.02,1.149,0,0.29579999999999995,-29.181,3,0.1482,575.253,9,0.759,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
Disappear Without a Trace,Scrawl,0.0159,0.373,0.251,0.149,2,0.102,-19.305,1,0.0289,137.253,4,0.148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Discharged Reason,Nuclear Assault,0.000789,0.336,0.994,0.0026,8,0.0467,-6.266,1,0.111,111.104,4,0.0454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Divorce Song,Liz Phair,0.0581,0.635,0.805,0.0,1,0.191,-4.776,1,0.0268,120.384,4,0.744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Do What You Do,Scarface,0.247,0.725,0.311,9.1e-05,10,0.114,-14.721,0,0.365,78.962,4,0.463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Do You Know the Way to San Jose?,Burt Bacharach,1.605,1.7039999999999997,1.977,0.0,15,2.205,-22.919999999999998,3,0.36,228.06,12,1.377,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
Do You Remember (Theme Song),Blind James Campbell,2.7600000000000002,1.968,0.627,0.0,33,0.2997,-24.969,3,0.1257,233.79900000000004,12,1.59,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Dolores,Miles Davis,0.0424,0.408,0.489,0.000274,7,0.368,-12.614,0,0.0409,138.432,4,0.567,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Donde Estabas Tu,Tito Puente,1.364,1.158,1.366,0.000124,10,0.1022,-11.232,0,0.0674,296.714,8,1.768,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
Dreamland,Bob Marley,0.808,0.377,0.327,0.000261,0,0.116,-13.36,1,0.144,200.481,4,0.455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Dreams,Fleetwood Mac,0.0644,0.828,0.492,0.00428,0,0.128,-9.744,1,0.0276,120.151,4,0.789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Dressed for Sick Sex,Quasimodo Jones,0.442,0.549,0.987,4.99e-05,9,0.387,-6.006,1,0.429,101.309,3,0.206,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Drunken Poet's Dream,Hayes Carll,0.956,1.042,1.03,2.74e-05,18,0.228,-13.852,2,0.0578,275.994,8,1.02,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Duas Lágrimas de Orvalho,Mariza,1.872,1.212,0.1336,2.62e-05,0,0.206,-22.414,0,0.1326,168.13,8,0.652,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Dude,Beenie Man,0.123,0.616,0.71,0.0,5,0.128,-7.05,1,0.264,93.938,4,0.945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Dudes,Steel Pulse,0.0579,0.538,0.823,0.000417,6,0.151,-9.805,0,0.113,202.157,4,0.741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Dynamite,Taio Cruz,0.00332,0.754,0.804,0.0,4,0.0329,-3.177,1,0.0853,119.968,4,0.818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Early Mornin',Britney Spears,0.014,0.719,0.67,0.0579,4,0.0968,-5.206,0,0.0829,94.965,4,0.678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Earth by Invitation Only,Crucifucks,0.00247,0.388,0.935,0.287,4,0.0803,-7.256,0,0.0566,86.792,4,0.464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Eastern Standard Time,The Skatalites,0.618,0.816,0.523,0.411,0,0.0681,-9.937,1,0.0586,125.723,4,0.949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Ecclesiastes,Stevie Wonder,1.533,0.333,0.366,2.67,0,0.354,-59.79,0,0.11549999999999999,513.063,9,0.372,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Ecstasy,Tito Puente,0.418,0.988,0.906,1.594,20,0.1134,-24.332,2,0.0748,242.606,8,1.774,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
Eddie's Out,Cabaret Voltaire,0.518,0.794,1.184,0.0278,20,0.238,-29.234,0,0.274,364.224,8,0.616,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Eight Days On the Road,Aretha Franklin,1.3,1.416,1.318,0.0001724,10,0.1026,-15.248,0,0.0796,248.13,8,1.584,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
El Patron,Brujeria,0.00359,0.317,0.974,0.0,1,0.861,-6.342,0,0.257,120.216,4,0.0803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
El Pescador,Celia Cruz,0.735,0.711,0.603,0.219,5,0.345,-7.17,1,0.0387,91.603,4,0.911,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
El Temperamento,Marquess,0.1582,1.472,1.358,0.0,4,0.36,-14.16,2,0.1026,204.024,8,1.88,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
Elan,Secret Garden,0.388,0.476,1.27,0.1852,12,0.288,-17.72,0,0.079,184.352,6,0.73,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Empathy,Sneaker Pimps,0.675,0.408,0.498,0.0121,0,0.0924,-12.483,1,0.0392,150.231,3,0.113,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Es War Einmal,Cluster,2.274,1.929,0.46799999999999997,2.928,21,0.312,-60.22200000000001,3,0.1257,352.116,12,0.942,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Eternally,Steven Halpern,2.952,0.339,0.1668,2.7,0,0.339,-73.428,3,0.11730000000000002,209.43900000000002,9,0.1062,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Europe Endless,Kraftwerk,0.0816,1.54,0.928,1.298,22,0.398,-22.782,2,0.1142,220.774,8,0.838,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Every Beat of My Heart,Gladys Knight & the Pips,0.812,0.338,0.362,2.52e-05,0,0.229,-13.103,1,0.0323,173.985,3,0.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Everybody Loves a Nut,Johnny Cash,1.24,1.348,1.2,0.0268,14,0.252,-20.278,2,0.0698,182.476,8,1.744,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Everybody Wants the Same Thing,Scissor Sisters,0.105,1.39,1.496,0.0,14,0.676,-8.472,2,0.05,214.08,8,1.408,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Everybody's Laughing,Billie Holiday,2.871,1.8780000000000001,0.777,0.000687,15,1.0739999999999998,-32.298,0,0.11370000000000001,347.457,12,1.5150000000000001,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
Exodus,Bob Marley & the Wailers,0.0301,0.868,0.744,0.00517,7,0.172,-8.565,1,0.0502,132.836,4,0.961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Expresso 2222,Gilberto Gil,0.605,0.79,0.459,0.0,0,0.111,-12.183,1,0.0709,111.464,4,0.962,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Faking Love,T.G. Sheppard,0.496,0.532,0.366,0.000275,4,0.345,-12.665,0,0.0376,75.346,4,0.211,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
False Curl Girl,Mad Professor,0.0059,0.676,0.276,0.828,1,0.241,-14.369,1,0.144,82.111,4,0.478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Fan the Fire,Earth; Wind & Fire,0.873,1.9980000000000002,2.142,0.0636,12,0.384,-28.344,0,0.1851,267.054,12,2.07,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
Fast Money Music,Suicide,0.0358,1.194,1.728,0.278,20,0.1536,-25.688,0,0.0832,214.218,8,1.278,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Feel It,Orange 9mm,1.21e-05,0.439,0.971,0.907,7,0.114,-5.087,1,0.144,97.182,4,0.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Feelings,Il Divo,1.76,1.196,2.3,1.364e-05,24,0.412,-32.744,0,0.1764,558.276,16,0.544,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
Felicidad,Gloria Estefan,1.138,1.068,0.752,0.0,14,0.282,-17.282,0,0.0712,180.424,8,0.566,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Feuer,Jan Delay,0.0486,2.163,1.923,2.8859999999999998e-05,27,0.27240000000000003,-12.855,0,0.1077,411.486,12,1.863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
Fiddle-Faddle,Peter Brötzmann,0.188,0.329,0.89,0.102,0,0.143,-12.966,1,0.117,94.854,4,0.208,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Fight to Forget,Painstake,1.1e-05,0.43,0.812,0.778,11,0.172,-12.965,1,0.0601,107.605,4,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Firestorms,Demonoid,1.6559999999999997e-05,1.509,2.934,2.739,24,2.13,-13.649999999999999,3,0.471,330.084,12,0.96,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Fit But You Know It,The Futureheads,0.00245,0.406,0.962,0.0,0,0.29,-0.68,0,0.301,86.514,4,0.675,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Five Long Years,Junior Parker,1.728,1.008,0.1708,0.00698,4,0.476,-40.712,2,0.1472,305.548,6,0.436,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Five More to Fix,Coldseed,3.24e-05,1.521,2.886,3.42e-05,6,0.43499999999999994,-12.198,3,0.15839999999999999,284.817,9,1.488,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Flint Hill Special,Lester Flatt,0.0444,0.321,0.838,0.877,7,0.0508,-3.556,1,0.041,155.596,4,0.923,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fmlyhm,Seether,0.000596,0.742,1.638,3.48e-06,4,0.286,-8.732,2,0.0986,391.918,8,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
Foggy Mountain Breakdown,Flatt & Scruggs,0.191,0.407,0.479,0.901,2,0.352,-14.781,1,0.0329,155.252,4,0.919,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Foggy Mountain Chimes,Flatt & Scruggs,0.601,0.402,0.684,0.582,8,0.318,-8.978,1,0.0308,150.077,4,0.975,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
For Carlos,Herb Alpert,1.648,0.916,0.492,1.84,18,0.22,-28.822,0,0.0564,215.022,8,0.32,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
For Your Entertainment,Adam Lambert,0.0822,1.308,1.744,0.0,2,0.1616,-7.648,2,0.22,260.046,8,1.224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
For the First Time,Kenny Chesney,0.089,0.539,0.775,3.7e-05,7,0.071,-7.43,1,0.0378,81.8,4,0.339,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Forgive & Forget,Alien Ant Farm,0.366,0.668,0.769,0.0,9,0.0861,-5.25,1,0.218,79.852,4,0.469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Forgiven,Los Lonely Boys,1.0,1.084,1.436,0.0001372,6,0.1998,-13.392,2,0.071,164.074,8,1.258,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Forgotten,Gorilla Biscuits,0.000237,0.332,0.981,0.000131,2,0.112,-4.749,1,0.139,107.24,4,0.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Four Strong Winds,John Denver,2.8649999999999998,2.485,1.18,1.6e-05,45,1.635,-75.25,5,0.14,465.675,20,1.3050000000000002,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Fourth of July,Mariah Carey,1.794,1.6500000000000001,1.6860000000000002,1.272e-05,27,0.201,-22.176000000000002,3,0.1392,444.501,12,0.8430000000000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
Free Speech for the Dumb,Discharge,7.48e-06,0.292,0.83,0.149,11,0.0398,-9.498,1,0.0734,124.618,4,0.247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Front Line,Stevie Wonder,0.0114,0.673,0.736,0.0101,1,0.354,-9.362,1,0.0418,88.383,4,0.944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
GM2 1,Gorilla Biscuits,1.07e-05,0.223,0.79,0.000364,2,0.143,-14.882,1,0.0762,163.314,4,0.445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Gangree,Ministry,0.000268,0.441,0.796,0.132,8,0.0871,-5.855,0,0.0522,176.028,3,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Gentle on My Mind,Aretha Franklin,1.482,1.012,1.002,0.0,14,0.216,-25.972,0,0.1112,171.234,8,1.236,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Get Down off of the Train,The Isley Brothers,0.637,0.497,0.604,0.0,2,0.582,-8.092,1,0.0457,84.663,4,0.787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Get Outta My Life,Rebel Meets Rebel,0.01326,0.698,1.97,0.0001074,2,0.564,-3.154,2,0.358,200.658,8,0.824,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Get Raped,Eater,0.00407,0.343,0.74,1.29e-05,5,0.11,-13.305,1,0.0589,99.323,4,0.243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Get Up While You Can,Atari Teenage Riot,0.00052,0.297,0.949,0.0471,7,0.956,-7.959,1,0.136,103.977,4,0.0539,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ghetto Blaster,Rod Stewart,0.025,1.472,1.558,0.95,14,0.112,-20.11,2,0.0762,225.078,8,1.422,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Ghetto Ties,C-Murder,0.0223,0.739,0.71,1.58e-06,1,0.0997,-9.251,1,0.172,144.02,4,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Gilla House Check,Redman,0.0496,0.578,0.875,0.0,10,0.333,-5.706,0,0.3,96.022,4,0.777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Goblin City,Panthers,0.0207,2.382,1.968,2.259,12,0.2403,-22.422,0,0.1398,374.961,12,1.1520000000000001,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
God Loves a Drunk,Richard Thompson,0.55,0.432,0.0386,0.0,11,0.105,-22.089,1,0.0414,100.859,3,0.142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Golpe de Estado,Daddy Yankee,0.342,1.822,1.668,0.0,18,0.566,-10.886,0,0.49,190.044,8,1.442,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Gospel Way,The Louvin Brothers,0.902,0.707,0.402,5e-05,2,0.342,-13.006,1,0.0316,126.498,4,0.783,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gota Let Your Nuts Hang,Geto Boys,0.517,0.783,0.799,0.00027,1,0.368,-4.629,1,0.387,72.896,4,0.699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Grit,Fudge Tunnel,4.25e-05,0.141,0.99,0.731,0,0.298,-5.015,1,0.0582,159.053,4,0.651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Guys and Dolls,Sammy Davis; Jr.,0.504,2.012,1.116,0.003456,0,0.42,-64.296,4,0.1416,430.296,16,3.064,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0
Hallelujah; I Love Her So,Harry Belafonte,1.258,1.392,1.166,0.0,20,0.246,-12.768,2,0.0614,158.114,8,1.086,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Harbor Lights,Billy Ward,0.952,0.319,0.392,0.00115,2,0.158,-8.626,1,0.0567,176.839,3,0.317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Hark! The Herald Angels Sing,Neil Diamond,1.4,0.806,0.994,0.0,10,1.038,-10.298,2,0.0592,211.328,8,0.724,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Hear Me Talkin' to Ya?,Louis Armstrong,0.756,0.738,0.499,0.0104,2,0.231,-11.779,0,0.0712,111.209,4,0.895,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Hear Nothing See Nothing Say Nothing,Discharge,2.23e-06,0.203,0.946,0.648,3,0.113,-9.082,0,0.107,154.437,4,0.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Heart of Mine,Will Downing,0.0493,0.665,0.425,6.07e-05,10,0.121,-10.557,0,0.0266,93.995,4,0.519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Heart of a Champion,Nelly,0.21,1.13,1.89,0.0,18,1.072,-6.76,0,0.318,315.508,8,1.716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
Heartland,Client,0.00444,0.898,1.558,0.00498,4,0.294,-8.63,0,0.0626,230.024,8,0.964,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Heartz of Men,2Pac,0.00288,0.777,0.77,0.00019,6,0.334,-6.081,1,0.156,92.527,4,0.576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Helga,The Kinks,1.07,0.804,1.344,1.584,18,1.018,-18.442,0,0.058,204.468,2,0.964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
Hello Dolly,Harry Connick; Jr.,0.836,1.376,0.634,8.32e-05,0,0.452,-23.536,2,0.208,153.412,8,1.088,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
Hercules,Elton John,0.0797,0.562,0.783,0.00174,0,0.083,-7.377,1,0.0322,147.714,4,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Here Comes That Feeling,Squeeze,0.021,0.593,0.641,0.555,4,0.566,-12.798,1,0.0461,134.497,4,0.254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Hermanos,Gipsy Kings,1.42,1.256,1.578,0.36,2,0.1584,-17.586,2,0.0862,214.684,8,1.6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Heroine,Lou Reed,0.943,0.627,0.233,0.0,0,0.0884,-12.634,1,0.0476,76.559,4,0.177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Hey You,Shakira,0.688,3.1,2.584,0.0,4,0.412,-23.592,4,0.146,512.328,16,3.152,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
History's Stranglers,The Bronx,7.86e-05,0.788,1.982,0.0025,22,0.1126,-6.702,0,0.1432,195.86,8,1.668,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Hobo's Lullaby,Pete Seeger,0.618,0.417,0.202,0.000171,2,0.102,-16.782,1,0.0325,134.012,4,0.433,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Home in That Rock,Dan Zanes,1.6500000000000001,1.818,1.884,0.013260000000000001,6,0.36,-26.016000000000002,3,0.0987,234.822,12,2.694,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
Homeland,Kenny G,0.0945,1.0110000000000001,1.236,0.381,24,0.399,-39.948,3,0.1215,532.842,12,0.9870000000000001,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Homenaje a Ellington,Chucho Valdés,0.878,1.13,1.312,1.75,0,0.258,-21.71,2,0.1164,224.87,8,1.284,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Hope Scope,David Murray Octet,0.485,0.38,0.548,0.629,2,0.134,-13.715,1,0.224,75.505,4,0.358,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Horn Island,Martin Simpson,1.944,1.278,0.93,1.458,4,0.234,-26.504,0,0.07,234.26,8,1.594,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Hotcha Cornia (Hotcha Chornya- Russian Folk Songs),Spike Jones,1.934,1.334,0.932,0.26,4,0.1318,-24.752,0,0.224,305.804,8,1.28,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
