Nome da Faixa,Cantor ou Compositor,Gênero,Quadrante,Acousticness,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
Mortuary Love Affair,Pungent Stench,International; Pop/Rock,Q2,1.03e-05,0.257,0.921,0.00694,2,0.144,-5.722,1,0.101,111.425,3,0.193
Kill Yuh,Sizzla Kalonji,Reggae,Q2,0.0398,0.659,0.834,0.0,1,0.0908,-6.08,1,0.112,111.76,4,0.53
Front Line,Stevie Wonder,R&B,Q1,0.0114,0.673,0.736,0.0101,1,0.354,-9.362,1,0.0418,88.383,4,0.944
It Won't Be Long (And I'll Be Hating You),Johnny Paycheck,Country,Q3,0.426,0.698,0.37,3.93e-05,2,0.157,-13.97,1,0.0359,109.588,4,0.455
The Point of It All,Fennesz,Avant-Garde; Electronic; Pop/Rock,Q3,0.848,0.204,0.331,0.955,7,0.148,-15.755,0,0.0385,86.632,3,0.0503
Blume,Einstürzende Neubauten,Pop/Rock; Electronic,Q3,0.677,0.508,0.0373,6.64e-05,1,0.11,-22.327,1,0.0574,118.36,1,0.0502
Como Ayer,Gipsy Kings,International; Jazz,Q1,0.804,0.633,0.553,0.000866,0,0.139,-8.851,1,0.0376,87.608,4,0.738
Pavanne (The Lamp Is Low),Erroll Garner,Classical; Jazz,Q4,0.882,0.6,0.212,0.166,3,0.153,-16.56,1,0.0446,110.022,4,0.589
Postfuturistika,...And Oceans,Electronic; International; Pop/Rock,Q2,1.32e-05,0.188,0.874,0.0997,9,0.178,-6.121,1,0.0606,119.739,3,0.0775
White Lines (Don't Don't Do It),Grandmaster Flash,Rap,Q2,0.0137,0.864,0.705,0.00263,0,0.187,-8.874,1,0.057,115.169,4,0.878
Silver Bells,Kenny G,Holiday; Jazz,Q4,0.146,0.362,0.501,0.841,5,0.528,-9.87,1,0.0378,137.548,3,0.577
Expresso 2222,Gilberto Gil,International,Q1,0.605,0.79,0.459,0.0,0,0.111,-12.183,1,0.0709,111.464,4,0.962
Firestorms,Demonoid,Electronic; International; Pop/Rock,Q2,5.52e-06,0.503,0.978,0.913,8,0.71,-4.55,1,0.157,110.028,4,0.32
Persian Love Song,Dead Can Dance,Jazz; New Age; Pop/Rock,Q3,0.963,0.146,0.355,0.000195,7,0.725,-13.025,1,0.119,185.465,4,0.093
Vice,Grandmaster Flash,Rap,Q2,0.0259,0.787,0.926,3.91e-06,0,0.0371,-7.416,1,0.0889,95.117,4,0.741
Memories of Mother,Ricky Skaggs,Country; Religious,Q4,0.778,0.603,0.259,7.12e-05,5,0.12,-11.523,1,0.0484,201.525,4,0.145
Where Did You Go,Eliane Elias,Easy Listening; International; Jazz,Q4,0.948,0.433,0.255,0.935,1,0.112,-18.272,1,0.0299,73.542,4,0.142
Soy Loco por Ti América,Caetano Veloso,International,Q1,0.138,0.65,0.582,0.0,2,0.0621,-6.22,1,0.207,95.542,4,0.684
Ain't No Need of Cryin',Clifton Chenier,International; Blues; R&B,Q3,0.812,0.502,0.448,9.28e-05,8,0.0886,-11.517,1,0.0442,113.307,3,0.697
Conga,Miami Sound Machine,Electronic; Pop/Rock; Latin,Q1,0.168,0.789,0.656,0.0409,2,0.0311,-14.825,1,0.0474,122.237,4,0.865
Suppertime,Ella Fitzgerald,Jazz; Vocal,Q3,0.876,0.241,0.272,0.00477,0,0.612,-14.076,1,0.0419,86.37,4,0.151
Breakdown,Handsome Boy Modeling School,Pop/Rock; Rap,Q4,0.395,0.748,0.645,0.0173,0,0.134,-5.843,1,0.0842,80.528,4,0.498
The Lady of Shalott,Momus,Pop/Rock,Q3,0.32,0.668,0.466,0.0619,8,0.11,-9.428,1,0.0383,104.033,4,0.191
Gilla House Check,Redman,Rap,Q2,0.0496,0.578,0.875,0.0,10,0.333,-5.706,0,0.3,96.022,4,0.777
In Our Time,Burt Bacharach,International; Jazz,Q4,0.764,0.363,0.141,0.0141,5,0.0847,-13.015,1,0.0309,60.978,4,0.182
Liza (All the Clouds'll Roll Away),Chick Webb,Jazz; Vocal,Q1,0.657,0.646,0.598,0.883,7,0.0621,-10.483,0,0.099,115.156,4,0.527
Fan the Fire,Earth; Wind & Fire,Electronic; Pop/Rock; R&B,Q1,0.291,0.666,0.714,0.0212,4,0.128,-9.448,0,0.0617,89.018,4,0.69
Such a Sick Boy,One Man Army and the Undead Quartet,Electronic; International; Pop/Rock,Q2,1.88e-05,0.56,0.932,0.00509,1,0.19,-5.354,1,0.0722,99.903,4,0.666
Me; Myself and I,Billie Holiday,Jazz; Vocal; Blues,Q1,0.0026,0.943,0.558,2.19e-06,2,0.0937,-4.911,1,0.0568,104.983,4,0.606
War on the Pentagon,U.K. Subs,Pop/Rock,Q2,2.58e-05,0.263,0.887,0.012,6,0.588,-6.396,0,0.0807,112.931,4,0.667
This Trust Will Kill Again,Refused,Electronic; International; Pop/Rock,Q2,0.000362,0.523,0.934,0.204,7,0.212,-4.757,1,0.0593,109.762,4,0.507
Where I'm From,Digable Planets,Rap; R&B,Q4,0.188,0.876,0.42,0.00186,0,0.0668,-18.246,0,0.279,98.304,4,0.706
Artificial Girl,Crucifucks,Pop/Rock,Q2,0.0133,0.424,0.914,3.65e-06,4,0.179,-7.609,0,0.0564,109.54,4,0.643
Ride On,Don Williams,Country; International,Q4,0.758,0.673,0.423,0.739,0,0.102,-11.249,1,0.0247,110.149,4,0.504
9 - 5,Raunchy,International; Pop/Rock,Q2,4.73e-06,0.453,0.983,0.285,1,0.0821,-4.363,0,0.167,102.62,4,0.16
Tico-Tico,Xavier Cugat,Latin; Easy Listening; Jazz,Q1,0.782,0.606,0.549,0.441,9,0.342,-11.6,0,0.0429,96.881,4,0.966
We Are Family,Chic,R&B,Q1,0.117,0.498,0.951,1.46e-06,2,0.365,-5.069,1,0.133,117.929,4,0.436
TB Blues,Maria Muldaur,Blues; Jazz,Q3,0.906,0.587,0.168,5.89e-06,10,0.25,-12.486,1,0.0334,76.745,4,0.495
I Understand,The Distillers,Electronic; International; Pop/Rock,Q2,0.000232,0.292,0.987,0.0,0,0.344,-2.402,1,0.112,94.079,4,0.132
La Campeona,Celia Cruz,Latin,Q1,0.718,0.602,0.568,0.00118,0,0.304,-8.45,1,0.107,89.066,4,0.91
Wild Theme,Mark Knopfler,Classical; Easy Listening; Pop/Rock; Stage & Screen,Q4,0.871,0.49,0.0834,0.861,0,0.107,-23.008,1,0.0333,91.779,4,0.188
Impure Perfection,Darkane,Electronic; Pop/Rock,Q2,2.27e-06,0.441,0.988,0.00054,6,0.23,-6.421,1,0.11,133.109,4,0.169
Kollaps,Einstürzende Neubauten,Pop/Rock; Electronic,Q3,0.604,0.592,0.838,0.0509,9,0.206,-5.063,0,0.0916,59.278,4,0.101
Meet Mister Callaghan,Chet Atkins,Country; International,Q4,0.942,0.578,0.427,0.839,0,0.115,-9.038,0,0.0335,121.479,4,0.808
I Cheated Me Right of You,Moe Bandy,Country,Q3,0.397,0.596,0.48,0.0,10,0.134,-10.357,1,0.0317,111.477,4,0.591
Brother; Can You Spare a Dime?,Bing Crosby,Vocal; Jazz,Q3,0.0309,0.545,0.78,4.64e-05,7,0.0828,-4.867,0,0.0436,125.014,4,0.458
For Carlos,Herb Alpert,Easy Listening; Pop/Rock,Q4,0.824,0.458,0.246,0.92,9,0.11,-14.411,0,0.0282,107.511,4,0.16
Hymn Medley: Abide With Me/Just as I Am Without One Plea/What a Friend,Charlie Haden,Religious,Q4,0.96,0.403,0.039,0.932,10,0.122,-27.684,1,0.0454,68.546,4,0.292
Wasteland,Artificial Peace,Pop/Rock,Q2,0.0986,0.492,0.849,1.07e-06,2,0.871,-6.349,1,0.0654,128.126,4,0.768
Whoops Now,Janet Jackson,R&B; Electronic; Pop/Rock,Q1,0.495,0.786,0.801,1.1e-05,7,0.354,-5.755,1,0.0671,130.209,4,0.839
Piece for Solo Flute,Dead Can Dance,Jazz; New Age; Pop/Rock,Q3,0.994,0.254,0.357,0.774,9,0.711,-18.278,1,0.125,129.736,4,0.262
The Grave,Killa,Stage & Screen; Rap,Q2,0.259,0.758,0.538,0.0,6,0.182,-6.328,0,0.301,88.302,4,0.517
The Way Ahead,Within Reach,Electronic; International; Pop/Rock,Q2,9.27e-06,0.319,0.931,0.791,7,0.0992,-5.118,1,0.0852,117.452,4,0.399
Viagra,Harry Toddler,Reggae,Q2,0.0325,0.721,0.711,0.0,10,0.215,-4.955,0,0.447,123.572,5,0.616
You Always Hurt the One You Love,The Mills Brothers,Vocal,Q3,0.939,0.516,0.081,2.48e-05,7,0.367,-18.345,0,0.0602,138.69,4,0.352
Loot; Shoot; Electrocute,Pungent Stench,International; Pop/Rock,Q2,0.0801,0.847,0.561,6.78e-06,2,0.201,-6.484,0,0.295,131.968,4,0.597
History's Stranglers,The Bronx,Electronic; Pop/Rock,Q2,3.93e-05,0.394,0.991,0.00125,11,0.0563,-3.351,0,0.0716,97.93,4,0.834
No One Can Do It Better,The D.O.C.,Rap,Q2,0.0455,0.729,0.819,0.0,8,0.315,-6.936,1,0.292,94.142,4,0.797
Johnnie Take My Wife,Wilmoth Houdini,International,Q4,0.988,0.718,0.459,0.00158,3,0.168,-8.638,1,0.0647,102.643,4,0.939
Cao Cao Maní Picao,Tito Puente,Latin; Jazz,Q1,0.758,0.696,0.841,0.0205,5,0.172,-5.326,1,0.158,89.815,4,0.895
Slow Burn,Spyro Gyra,Jazz; Easy Listening,Q4,0.426,0.691,0.482,0.768,3,0.0627,-15.152,0,0.0317,110.021,4,0.89
I Was So Wrong,Jimmy Reed,Blues; R&B,Q3,0.863,0.668,0.268,0.000197,9,0.0899,-12.252,1,0.0303,70.357,4,0.628
Really and Truly,Sizzla,Reggae,Q4,0.155,0.701,0.492,0.0,9,0.155,-9.654,0,0.302,128.844,4,0.87
Blues de Ma Negresse,Clifton Chenier,International; Blues; R&B,Q3,0.723,0.336,0.426,2.34e-05,0,0.139,-13.124,1,0.225,80.182,4,0.583
Wagoner's Song,The New Christy Minstrels,Folk; Pop/Rock,Q1,0.69,0.618,0.452,0.000557,2,0.126,-9.365,1,0.0239,104.16,4,0.846
Scrape the Surface,Extol,International; Pop/Rock,Q2,3.79e-06,0.326,0.931,0.172,6,0.293,-5.607,0,0.0553,94.345,1,0.617
Talk That Talk; Pt. 1,The Rance Allen Group,R&B; Religious,Q2,0.186,0.793,0.512,3.81e-05,0,0.0889,-9.319,1,0.0338,109.994,4,0.0662
Confissao,Madredeus,Electronic; International,Q3,0.969,0.337,0.00451,5.71e-05,4,0.0921,-25.056,0,0.0437,97.5,4,0.197
Foggy Mountain Breakdown,Flatt & Scruggs,Country,Q1,0.191,0.407,0.479,0.901,2,0.352,-14.781,1,0.0329,155.252,4,0.919
Take Me in Your Arms,The Temptations,Electronic; R&B,Q4,0.0602,0.645,0.69,0.0,6,0.306,-7.78,1,0.165,78.649,4,0.427
The Briar and the Rose,Tom Waits,Pop/Rock; Stage & Screen,Q3,0.985,0.3,0.0643,0.585,7,0.124,-19.4,1,0.0398,136.561,4,0.21
Dude,Beenie Man,Reggae,Q1,0.123,0.616,0.71,0.0,5,0.128,-7.05,1,0.264,93.938,4,0.945
Liah Liah,Khaled,Folk; International; Pop/Rock,Q3,0.0782,0.758,0.365,4.24e-05,7,0.0865,-13.599,0,0.0587,90.8,4,0.446
Sleep Tight,Céline Dion,Children's; Pop/Rock,Q4,0.78,0.696,0.318,1.26e-05,10,0.103,-12.307,1,0.0513,124.07,4,0.38
Overripe,DDT,International; Pop/Rock,Q2,1.16e-05,0.224,0.971,0.22,11,0.968,-3.714,0,0.0751,186.913,4,0.382
The Girls from Texas,Ry Cooder,Country; Folk; Pop/Rock,Q1,0.105,0.66,0.469,0.0,0,0.114,-17.588,1,0.0615,108.999,4,0.831
Bailamos,Enrique Iglesias,Latin; Stage & Screen,Q1,0.0528,0.627,0.888,0.00237,9,0.136,-4.523,0,0.0388,99.905,4,0.591
Feel It,Orange 9mm,Pop/Rock,Q2,1.21e-05,0.439,0.971,0.907,7,0.114,-5.087,1,0.144,97.182,4,0.275
Song of the Dispossessed,Dead Can Dance,Jazz; New Age; Pop/Rock,Q3,0.553,0.689,0.443,0.165,7,0.132,-10.721,1,0.0347,91.037,4,0.294
Willie and the Hand Jive,Johnny Otis,Pop/Rock; Blues; R&B,Q1,0.106,0.777,0.809,4.18e-06,8,0.208,-9.122,0,0.125,98.842,4,0.927
In Vain,Biohazard,Pop/Rock,Q2,0.00102,0.539,0.829,0.000113,0,0.101,-6.061,1,0.0462,118.054,4,0.129
Penélope,Diego Torres,Latin,Q4,0.242,0.641,0.408,0.0,9,0.0755,-9.829,1,0.0275,99.025,4,0.393
Bad Day,The Blueskins,Electronic; Pop/Rock,Q2,0.000655,0.253,0.889,0.000489,0,0.151,-4.551,1,0.0411,149.383,4,0.748
Sea of Vapours,Nusrat Fateh Ali Khan,International; Jazz,Q4,0.795,0.171,0.00372,0.96,8,0.0879,-32.128,1,0.057,116.854,4,0.0663
Intro,Big Tymers,Rap,Q1,0.499,0.618,0.798,8.14e-05,4,0.0982,-5.944,0,0.288,92.493,4,0.828
The Christmas Song,Nat King Cole,Holiday; Vocal,Q4,0.92,0.319,0.21,8.06e-05,1,0.138,-15.231,1,0.0341,78.696,4,0.209
Justin,Against Me!,Pop/Rock; Folk,Q2,4.51e-05,0.433,0.789,0.00415,7,0.424,-7.808,1,0.0403,115.132,4,0.284
Ain't That a Shame,John Lennon,Electronic; Pop/Rock,Q1,0.32,0.586,0.855,0.0605,4,0.113,-8.904,1,0.0414,128.512,4,0.963
Perfect Moment,Martine McCutcheon,Pop/Rock,Q4,0.733,0.499,0.435,5.27e-06,1,0.135,-8.032,1,0.0301,142.028,4,0.117
Let Me Love You,Jeff Beck,Blues; Pop/Rock,Q1,0.225,0.494,0.6,0.00127,4,0.277,-10.411,0,0.0455,95.305,4,0.702
Crazy Rhythm,Stan Kenton,Jazz; Vocal,Q1,0.682,0.553,0.523,5.67e-05,5,0.0797,-7.804,1,0.0407,96.485,4,0.659
With Blood Comes Cleansing,Imperial,Electronic; Pop/Rock,Q2,0.0001,0.412,0.938,0.0432,5,0.0736,-6.063,1,0.104,97.601,3,0.303
The Truth About Men,Tracy Byrd,Country,Q1,0.0657,0.648,0.777,0.0,5,0.344,-5.46,1,0.0323,145.889,4,0.895
Homeland,Kenny G,Easy Listening; Jazz; Pop/Rock,Q4,0.0315,0.337,0.412,0.127,8,0.133,-13.316,1,0.0405,177.614,4,0.329
Why Should I,Bob Marley,Reggae,Q4,0.13,0.701,0.684,0.0,6,0.182,-3.814,0,0.193,88.235,4,0.65
O Holy Night,Il Divo,Classical; Easy Listening; Holiday; Vocal,Q4,0.978,0.131,0.401,0.0117,3,0.14,-7.974,1,0.0389,86.367,4,0.0852
Mountain to Sound,Spoon,Pop/Rock,Q2,0.108,0.446,0.48,0.00712,9,0.0854,-6.751,1,0.0346,135.27,3,0.29
Love in Itself 2,Depeche Mode,Pop/Rock; Electronic,Q3,0.0399,0.651,0.667,0.00102,2,0.247,-8.181,0,0.0249,100.842,4,0.516
Be Your Girl,Teedra Moses,R&B,Q4,0.209,0.861,0.679,5.53e-06,6,0.1,-6.731,0,0.405,115.092,4,0.268
Ambition,New Model Army,Electronic; Pop/Rock,Q2,1.68e-05,0.439,0.726,0.039,0,0.219,-12.586,1,0.0354,105.121,4,0.794
Pretty Paper,Willie Nelson,Holiday; Country,Q4,0.743,0.538,0.0784,0.117,2,0.103,-18.611,1,0.0425,90.379,3,0.262
Kronik,Lil' Kim,Electronic; Rap,Q1,0.0606,0.709,0.574,0.0,11,0.0476,-6.676,0,0.294,97.956,4,0.638
Amor Gitano,Beyoncé,Latin; Pop/Rock; R&B,Q4,0.473,0.491,0.745,0.0,4,0.239,-5.631,0,0.254,167.875,4,0.596
On the Road Again,Floyd Jones,Blues,Q3,0.993,0.427,0.383,0.933,9,0.112,-14.624,1,0.0293,67.402,4,0.501
Reno; Nevada,Richard & Mimi Fariña,Folk; Pop/Rock,Q4,0.282,0.523,0.399,7.96e-06,5,0.113,-13.065,1,0.0279,154.931,4,0.495
Walking and Falling,Laurie Anderson,Avant-Garde; Pop/Rock,Q3,0.978,0.392,0.027,0.564,0,0.0571,-24.248,1,0.111,75.21,1,0.126
I Want You to Want Me,The Holmes Brothers,R&B; Blues; New Age,Q4,0.951,0.523,0.336,0.345,9,0.124,-8.952,1,0.028,121.6,3,0.237
Wait,Ennio Morricone,Stage & Screen,Q2,0.941,0.133,0.179,0.602,5,0.118,-23.714,1,0.0605,99.786,4,0.0257
Afrodisia,Kenny Dorham,Jazz,Q1,0.887,0.635,0.659,0.456,5,0.128,-7.125,1,0.0637,107.862,4,0.93
I Will Survive,Enrique Iglesias,Latin; Pop/Rock,Q1,0.135,0.688,0.865,1.23e-06,10,0.0556,-3.473,0,0.0649,106.396,4,0.353
Oh Girl,Don Carlos,Reggae,Q3,0.143,0.69,0.449,0.000184,4,0.0328,-12.496,0,0.176,144.977,4,0.879
The Butcher,Leonard Cohen,Pop/Rock; Folk,Q3,0.958,0.532,0.0981,0.000918,4,0.112,-15.384,1,0.0381,89.06,4,0.136
No Sympathy,Peter Tosh,Reggae,Q3,0.015,0.735,0.521,1.16e-05,11,0.0842,-11.064,0,0.13,78.249,4,0.635
A Time to Die,The Forsaken,Electronic; International; Pop/Rock,Q2,1.37e-06,0.168,0.975,0.129,7,0.172,-4.522,1,0.131,134.581,4,0.0925
Dead Men Don't Rape,7 Year Bitch,Pop/Rock,Q2,9.03e-06,0.349,0.709,0.0095,9,0.147,-12.339,0,0.0336,114.581,3,0.708
The Prophet,The Make-Up,Pop/Rock,Q2,0.481,0.547,0.821,0.0,4,0.314,-8.36,0,0.0396,143.421,4,0.959
Look at Little Sister,Hank Ballard,Pop/Rock; R&B,Q1,0.687,0.196,0.904,0.00289,9,0.094,-6.037,1,0.0758,182.866,3,0.486
Keeping the Cadaver Dogs Busy,Cryptopsy,Electronic; International; Pop/Rock,Q2,2.08e-05,0.315,0.973,0.0363,11,0.175,-5.864,0,0.14,105.07,4,0.0674
Fit But You Know It,The Futureheads,Electronic,Q2,0.00245,0.406,0.962,0.0,0,0.29,-0.68,0,0.301,86.514,4,0.675
The Night Has a Thousand Eyes,Lee Konitz,Jazz; Vocal,Q3,0.692,0.51,0.262,0.395,7,0.131,-17.414,1,0.0391,116.512,4,0.459
Where There Is a Will; There Is a Way,Discharge,Pop/Rock,Q2,0.0048,0.344,0.896,4.5e-05,1,0.203,-4.378,1,0.0621,132.174,4,0.62
Wrath,Sizzla,Reggae,Q2,0.166,0.649,0.901,0.0,0,0.297,-6.261,0,0.416,117.208,4,0.965
Runnin' Wild,Stéphane Grappelli,Jazz,Q1,0.809,0.608,0.587,0.663,5,0.116,-6.673,1,0.0473,136.443,4,0.672
Disappear Without a Trace,Scrawl,Pop/Rock,Q3,0.0159,0.373,0.251,0.149,2,0.102,-19.305,1,0.0289,137.253,4,0.148
Misery Man,Force of Evil,Electronic; International; Pop/Rock,Q2,0.0598,0.528,0.943,0.0,6,0.289,-5.47,0,0.0844,99.97,4,0.455
Voices,Disturbed,Electronic; International; Pop/Rock,Q2,0.000303,0.612,0.972,0.00277,10,0.0817,-4.328,0,0.0919,109.989,4,0.576
Anutha Zone,Dr. John,Electronic; R&B,Q4,0.264,0.735,0.712,0.000327,7,0.0633,-9.748,1,0.0249,93.44,4,0.933
Five More to Fix,Coldseed,Electronic; International; Pop/Rock,Q2,1.08e-05,0.507,0.962,1.14e-05,2,0.145,-4.066,1,0.0528,94.939,3,0.496
I and I,Soulfly,Pop/Rock,Q2,7.53e-05,0.315,0.948,0.0182,7,0.0605,-4.814,1,0.0529,95.039,4,0.539
Care,Youth Brigade,Pop/Rock,Q2,4.44e-06,0.268,0.873,0.838,11,0.229,-12.935,0,0.0835,141.818,4,0.262
Waiting for the Meat,Fear,Pop/Rock,Q2,0.0307,0.359,0.884,7.6e-06,2,0.425,-4.307,1,0.0439,96.529,4,0.855
The Garden,Vern Gosdin,Country,Q3,0.596,0.457,0.249,0.000276,2,0.105,-13.168,1,0.0263,89.957,3,0.432
Abortion,Kraut,Pop/Rock,Q2,0.00029,0.162,0.975,9.77e-05,11,0.83,-10.461,0,0.0676,171.014,3,0.507
Phat ('N' All Dat),Onyx,Rap,Q2,0.0967,0.796,0.525,0.0,6,0.168,-12.104,1,0.323,90.011,4,0.529
Little Drummer Boy,Josh Groban,Holiday; Classical; Vocal,Q4,0.557,0.608,0.252,0.00541,9,0.115,-11.742,1,0.0303,122.019,4,0.195
Rudolph the Red-Nosed Reindeer,Alvin & the Chipmunks,Comedy/Spoken; Holiday,Q4,0.804,0.583,0.487,1.07e-05,10,0.682,-7.056,1,0.0567,135.946,4,0.75
Please Mr. Johnson,The Cadillacs,Pop/Rock; R&B,Q1,0.776,0.682,0.39,0.0,5,0.727,-12.452,1,0.0971,159.257,4,0.967
Pulling Rabbits Out of a Hat,Sparks,Classical,Q1,0.0226,0.586,0.685,0.0042,9,0.0677,-11.059,1,0.0316,157.37,4,0.777
Bichasniguz,Onyx,Rap,Q2,0.0138,0.87,0.478,0.000206,1,0.294,-13.45,1,0.307,96.052,4,0.342
Helga,The Kinks,Pop/Rock; Stage & Screen,Q3,0.535,0.402,0.672,0.792,9,0.509,-9.221,0,0.029,102.234,1,0.482
Hum-Allah-Hum-Allah-Hum Allah,Pharoah Sanders,Comedy/Spoken; Jazz,Q4,0.667,0.438,0.559,0.0161,6,0.0524,-10.725,0,0.0456,105.368,4,0.585
You Brought a New Kind of Love to Me,Frank Sinatra,Jazz; Vocal,Q4,0.472,0.54,0.206,0.0,0,0.117,-13.896,1,0.032,107.955,4,0.49
Christmas Time (Greensleeves),Alvin & the Chipmunks,Comedy/Spoken; Holiday,Q4,0.871,0.254,0.202,0.0127,4,0.152,-9.894,0,0.0315,177.278,4,0.48
The Bumper of My SUV,Chely Wright,Country,Q3,0.848,0.435,0.269,0.0,10,0.12,-8.555,1,0.0404,166.405,3,0.255
O Come; O Come; Emmanuel,Nicole C. Mullen,R&B; Religious,Q4,0.527,0.597,0.22,0.0,4,0.251,-10.848,1,0.0364,151.235,3,0.455
Di Que No,Pedro Infante,International; Latin; Pop/Rock,Q4,0.883,0.682,0.219,2.77e-05,5,0.0773,-12.324,1,0.0416,116.665,5,0.567
Messin' with the Kid,Buddy Guy,Blues,Q1,0.812,0.723,0.738,0.0108,5,0.0829,-8.571,1,0.0442,120.094,4,0.809
Cursum Perficio,Enya,International; New Age; Pop/Rock,Q4,0.887,0.342,0.0983,0.674,0,0.136,-19.383,0,0.0385,139.83,4,0.0491
Panis Angelicus,Josh Groban,Holiday; Classical; Vocal,Q4,0.913,0.114,0.137,0.00168,7,0.0987,-15.012,1,0.0374,71.606,4,0.0699
Do You Remember (Theme Song),Blind James Campbell,Blues; Country; Folk,Q3,0.92,0.656,0.209,0.0,11,0.0999,-8.323,1,0.0419,77.933,4,0.53
Wild Women Don't Have the Blues,Ida Cox,Blues; Jazz,Q3,0.996,0.495,0.35,0.0023,9,0.2,-7.457,1,0.0485,83.881,3,0.618
The Game,Cliff Richard,International; Pop/Rock,Q4,0.891,0.429,0.208,4.67e-05,2,0.158,-16.07,1,0.0301,107.618,3,0.485
Buggy Jail House Blues,Lillie Mae,Blues,Q3,0.979,0.547,0.361,4.23e-06,11,0.231,-8.817,1,0.032,79.98,4,0.446
The Great Western Train Chase,Orangeburg Massacre,Electronic; Pop/Rock,Q2,2.23e-05,0.311,0.911,0.0553,5,0.469,-4.721,1,0.0711,135.058,4,0.648
I Wish I Could Say the Same,The Ink Spots,Vocal,Q3,0.922,0.766,0.0513,1.43e-05,5,0.124,-18.332,1,0.0572,84.447,4,0.178
Tribulation,Divine Empire,Electronic; Pop/Rock,Q2,5.19e-06,0.215,0.922,0.059,7,0.239,-4.895,1,0.105,138.904,4,0.235
Divorce Song,Liz Phair,Pop/Rock,Q3,0.0581,0.635,0.805,0.0,1,0.191,-4.776,1,0.0268,120.384,4,0.744
This Can't Be Love,Diana Krall,Jazz; Vocal,Q1,0.494,0.619,0.41,0.0137,0,0.107,-10.449,1,0.0339,99.206,4,0.471
Hear Me Talkin' to Ya?,Louis Armstrong,Jazz,Q1,0.971,0.777,0.426,0.864,10,0.539,-9.095,1,0.06,113.572,4,0.964
Squeeze Me,Diana Krall,Jazz; Vocal,Q4,0.609,0.473,0.046,1.08e-06,7,0.109,-19.171,1,0.0391,113.639,4,0.147
Cover to Cover,Billy Ray Cyrus,Country; Pop/Rock,Q3,0.723,0.704,0.371,0.0,7,0.143,-10.524,1,0.0256,105.03,4,0.197
I Never Had Nothing,Blind James Campbell,Blues; Country; Folk,Q3,0.846,0.692,0.421,8.59e-05,11,0.0692,-6.743,1,0.0429,112.031,4,0.854
Sittin' Here Drinking,Blind James Campbell,Blues; Country; Folk,Q3,0.773,0.466,0.395,0.0,6,0.119,-8.127,1,0.0559,81.978,4,0.455
Hallelujah; I Love Her So,Harry Belafonte,Folk; Vocal,Q4,0.47,0.364,0.378,0.0,7,0.339,-7.381,0,0.0331,89.918,3,0.366
Will the Circle Be Unbroken,Blind James Campbell,Blues; Country; Folk,Q3,0.75,0.534,0.385,0.0,11,0.363,-6.984,0,0.0353,130.345,4,0.689
Beneath the Crimson Vaults of Cydonia,Bal-Sagoth,International; Pop/Rock,Q2,2.63e-06,0.191,0.969,0.623,10,0.152,-4.306,0,0.102,198.02,4,0.136
Beat the Bastards,The Exploited,Pop/Rock,Q2,4.15e-05,0.339,0.989,0.0178,8,0.124,-4.346,1,0.15,120.167,4,0.101
The Elephant Is Dead (Bush),Bill Hicks,Comedy/Spoken,Q2,0.934,0.507,0.502,3.65e-06,5,0.202,-14.371,0,0.922,79.427,4,0.588
Ring; Telephone; Ring,The Ink Spots,Vocal,Q3,0.592,0.778,0.317,0.0,1,0.0881,-10.732,0,0.334,140.048,4,0.327
Forgive & Forget,Alien Ant Farm,Pop/Rock,Q2,0.366,0.668,0.769,0.0,9,0.0861,-5.25,1,0.218,79.852,4,0.469
The Place Between Us,Chris Botti,Easy Listening; International; Jazz,Q4,0.871,0.753,0.248,0.932,5,0.0673,-16.896,1,0.0294,108.951,4,0.422
Dark Eyes,Gene Krupa,International; Jazz,Q1,0.779,0.622,0.524,0.848,4,0.0847,-9.877,1,0.0888,93.992,4,0.476
My Last Affair,Billie Holiday,Jazz; Vocal; Blues,Q3,0.937,0.695,0.225,0.000131,0,0.104,-12.704,1,0.041,92.326,4,0.572
Heroine,Lou Reed,Pop/Rock,Q3,0.943,0.627,0.233,0.0,0,0.0884,-12.634,1,0.0476,76.559,4,0.177
Pennywise,Pennywise,Pop/Rock,Q2,0.00527,0.347,0.983,0.0,9,0.19,-4.023,1,0.0915,94.277,4,0.655
How Long Has This Been Going On?,Dave Grusin,Jazz; Vocal,Q4,0.572,0.587,0.345,0.804,7,0.0989,-14.036,0,0.0315,129.528,3,0.329
Red Lights; the Stop Light,Jimmy Reed,Blues; R&B,Q3,0.000629,0.654,0.83,1.13e-06,10,0.121,-4.801,1,0.0366,124.989,4,0.548
A-Man,Suicide,Avant-Garde; Pop/Rock,Q2,0.978,0.212,0.79,0.972,3,0.19,-11.142,1,0.14,148.864,4,0.23
Dime Que Me Quieres (Bring a Little Lovin),Ricky Martin,Latin; Pop/Rock,Q1,0.025,0.746,0.595,1.24e-05,1,0.0413,-15.984,1,0.0462,113.921,4,0.893
Too Bad,Faces,Pop/Rock,Q1,0.158,0.407,0.877,1.34e-06,5,0.0542,-6.318,1,0.0638,163.68,4,0.798
Hotter Than That,Louis Armstrong,Jazz,Q1,0.894,0.782,0.409,0.278,3,0.309,-10.191,1,0.0676,106.03,4,0.907
